"Numero FINESS";"SIRET";"APE";"Raison sociale";"Complement distribution";"Adresse";"Lieudit_BP";"Code postal";"Libelle routage";"Tel";"Fax";"Date ouvert";"Code categorie";"Lib categorie";"Code statut";"Lib statut";"Code tarif";"Lib tarif";"Code PSPH";"Lib PSPH";"FINESS juridique";"SOC:";"Discipline1";"Mode de fonctionnement1";"Clientele1";"Capacite hommes1";"Capacite femmes1";"Capacite totale1";"Discipline2";"Mode de fonctionnement2";"Clientele2";"Capacite hommes2";"Capacite femmes2";"Capacite totale2";"Discipline3";"Mode de fonctionnement3";"Clientele3";"Capacite hommes3";"Capacite femmes3";"Capacite totale3";"Discipline4";"Mode de fonctionnement4";"Clientele4";"Capacite hommes4";"Capacite femmes4";"Capacite totale4";"Discipline5";"Mode de fonctionnement5";"Clientele5";"Capacite hommes5";"Capacite femmes5";"Capacite totale5";"Discipline6";"Mode de fonctionnement6";"Clientele6";"Capacite hommes6";"Capacite femmes6";"Capacite totale6";
"670003540";"266 700 947 00028";;"MAISON DE RETRAITE DU MANOIR - EHPAD";;"24 RUE REUCHLIN";;"67150";"GERSTHEIM";"03 88 98 33 00 ";"03 88 98 35 20";"02 mai 1995";"200";"Maison de Retraite";"03";"Commune";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"670003532";"";"Accueil temporaire pour Personnes agees";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"1";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670003565";"775 641 848 00012";;"MR DES SOEURS DE LA CROIX-EHPAD";;"20 RUE DE LA CHARITE";;"67100";"STRASBOURG";"03 88 44 96 60 ";;"01 octobre 1996";"200";"Maison de Retraite";"62";"Association de Droit Local";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"670781293";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670003581";"266 700 533 00026";;"MR LE BADBRONN - EHPAD";;"18 RUE ORTENBOURG";;"67730";"CHATENOIS";"03 88 82 30 03 ";;"01 octobre 1996";"200";"Maison de Retraite";"17";"Centre Communal Action Sociale";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"670003573";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670003615";"266 701 564 00020";;"MR LE GENTIL HOME - EHPAD";;"21 RUE DU BOURG";;"67640";"FEGERSHEIM";"03 89 96 13 13 ";;"01 octobre 1998";"200";"Maison de Retraite";"17";"Centre Communal Action Sociale";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"670003607";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670003631";"266 700 897 00025";;"M.R. AU FIL DE L'EAU - EHPAD";;"4 RUE DES CASTORS";;"67202";"WOLFISHEIM";"03 88 10 32 75 ";"03 88 10 32 79";"01 août 1996";"200";"Maison de Retraite";"03";"Commune";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"670003623";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"40";"Accueil temporaire pour Personnes agees";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670003656";"408 090 116 00125";;"MAISON DE RETRAITE NOTRE DAME - EHPAD";;"2 RUE PRINCIPALE";;"67110";"OBERBRONN";"03 88 05 85 85 ";"03 88 05 85 00";"01 janvier 1996";"200";"Maison de Retraite";"62";"Association de Droit Local";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"680015963";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670003664";"408 090 116 00133";;"MR SAINT-JOSEPH - EHPAD";;"4 RUE SOEUR ELISABETH EPPINGER";"BP 60009";"67892";"NIEDERBRONN CEDEX";"03 88 05 85 85 ";"03 88 05 85 00";"07 janvier 1993";"200";"Maison de Retraite";"62";"Association de Droit Local";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"680015963";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670003995";"404 463 556 00021";;"UNITE DE VIE 'L'OREE DES BOIS' EHPAD";;"19 RUE DE LA FORET";;"67570";"ROTHAU";"03 88 47 18 08 ";"03 88 47 45 81";"30 avril 1996";"200";"Maison de Retraite";"60";"Association Loi 1901 non Reconnue d'Utilite Publique";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"690019419";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670005529";"312 123 763 00012";;"MR DES SOEURS DE LA DIVINE PROVIDENCE";;"5 RUE DU CHATEAU";;"67520";"MARLENHEIM";"03 88 87 50 17 ";;"31 decembre 1999";"200";"Maison de Retraite";"64";"Congregation";"01";"Etablissement Tarif Libre";;;"670795178";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees Autonomes";"0";"30";"30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670006048";"477 562 391 00011";;"ACCUEIL DE JOUR PERSONNES AGeES-EHPAD";;"8 RUE DU VILLAGE";;"67170";"HOCHSTETT";"03 88 51 68 98 ";"03 88 51 67 18";"01 septembre 2004";"207";"Centre de Jour pour Personnes Agees";"61";"Association Loi 1901 Reconnue d'Utilite Publique";"20";"Autorite mixte prefet dpt PCG EHPAD tripartite DG global";;;"670005958";"";"Accueil temporaire pour Personnes agees";"Accueil de Jour";"Personnes Alzheimer ou maladies apparentees";"0";"0";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670006279";"775 618 150 00467";;"MR PAUL BERTOLOLY EHPAD";"LOTISSEMENT EICHHOLZ";"15 RUE EICHHOLZ";;"67510";"LEMBACH";"03 88 94 21 05 ";"03 88 94 25 12";"03 decembre 2004";"200";"Maison de Retraite";"62";"Association de Droit Local";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"570010173";"";"Accueil temporaire pour Personnes agees";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"3";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"28";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Alzheimer ou maladies apparentees";"0";"0";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670006428";"775 618 150 00558";;"MR LES MeLeZES HOSPITALOR - EHPAD";;"22 RUE DU SCHURMFELD";;"67100";"STRASBOURG";"03 88 44 92 00 ";"03 88 84 82 01";"01 decembre 2008";"200";"Maison de Retraite";"62";"Association de Droit Local";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"570010173";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Alzheimer ou maladies apparentees";"0";"0";"10";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"62";"Accueil temporaire pour Personnes agees";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670006519";"417 876 877 00057";;"M.R. SILOE EMMAUS EHPAD OSTWALD";;"RUE DE L'ILE DES PECHEURS";;"67540";"OSTWALD";"03 88 10 93 10 ";;"22 avril 2008";"200";"Maison de Retraite";"62";"Association de Droit Local";"20";"Autorite mixte prefet dpt PCG EHPAD tripartite DG global";;;"670006469";"";"Accueil temporaire pour Personnes agees";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"4";"Accueil temporaire pour Personnes agees";"Hebergement Complet Internat";"Personnes Alzheimer ou maladies apparentees";"0";"0";"2";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"50";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Alzheimer ou maladies apparentees";"0";"0";"14";"";"";"";"";"";"";"";"";"";"";"";"";
"670006568";"775 642 069 00667";;"MR DANUBE - EHPAD";;"11 RUE DE L'ELBE";;"67100";"STRASBOURG";"03 88 60 83 00 ";"03 88 60 83 01";"17 octobre 2011";"200";"Maison de Retraite";"62";"Association de Droit Local";"20";"Autorite mixte prefet dpt PCG EHPAD tripartite DG global";;;"670792340";"";"Accueil temporaire pour Personnes agees";"Hebergement Complet Internat";"Personnes Alzheimer ou maladies apparentees";"0";"0";"1";"Accueil temporaire pour Personnes agees";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"3";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Alzheimer ou maladies apparentees";"0";"0";"15";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"65";"";"";"";"";"";"";"";"";"";"";"";"";
"670006618";;;"MR LES TROIS FLEURS HOLTZHEIM - EHPAD";;"2 ALLEE DES COLOMBES";;"67810";"HOLTZHEIM";"03 88 88 50 18 ";"03 88 88 50 19";"01 decembre 2007";"200";"Maison de Retraite";"62";"Association de Droit Local";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"670792340";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Alzheimer ou maladies apparentees";"0";"0";"15";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670006758";;;"UNITE DE VIE AGE ET DIGNITE";;"RUE MADELEINE WIEDERKEHR";;"67600";"SELESTAT";"03 90 56 31 13 ";;"23 decembre 2003";"200";"Maison de Retraite";"62";"Association de Droit Local";"99";"Indetermine";;;"670006709";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees (Sans Autre Indication)";"0";"0";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670007038";"487 789 174 00017";;"ACCUEIL DE JOUR 'VIVRE ENSEMBLE'-EHPAD";;"13 RUE DU REMPART";;"67430";"DIEMERINGEN";"03 88 00 41 25 ";"03 88 00 44 85";"01 decembre 2005";"207";"Centre de Jour pour Personnes Agees";"62";"Association de Droit Local";"20";"Autorite mixte prefet dpt PCG EHPAD tripartite DG global";;;"670792423";"";"Accueil temporaire pour Personnes agees";"Accueil de Jour";"Personnes Alzheimer ou maladies apparentees";"0";"0";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670007988";"775 642 069 00659";;"MR HOME ST JOSEPH EHPAD";;"39 RUE BALLERICH";;"67440";"THAL MARMOUTIER";"03 88 02 13 30 ";;"01 janvier 2013";"200";"Maison de Retraite";"62";"Association de Droit Local";"21";"Autorite mixte prefet dpt PCG EHPAD tripartite DG partielle";;;"670792340";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Alzheimer ou maladies apparentees";"0";"0";"12";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"70";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670008598";"509 454 690 00017";;"MR LES 4 VENTS EHPAD";;"12 RUE BERLIOZ";;"67550";"VENDENHEIM";"03 88 64 78 00 ";"03 88 64 78 01";"19 janvier 2009";"200";"Maison de Retraite";"62";"Association de Droit Local";"09";"Autorite Mixte Prefet Dept et PCG (2 arr.)";;;"670008549";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Alzheimer ou maladies apparentees";"0";"0";"12";"Accueil en Maison de Retraite";"Accueil de Jour";"Personnes Agees dependantes";"0";"0";"6";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"48";"Accueil en Maison de Retraite";"Accueil de Jour";"Personnes Alzheimer ou maladies apparentees";"0";"0";"2";"";"";"";"";"";"";"";"";"";"";"";"";
"670008788";"266 700 046 00060";;"ACCUEIL DE JOUR MAISON BLEUE";;"17 RUE STRASBOURG";"BP 90 007";"67241";"BISCHWILLER CEDEX";"03 88 80 22 22 ";"03 88 80 22 65";"03 avril 2006";"207";"Centre de Jour pour Personnes Agees";"11";"Etablissement Public Departemental d'Hospitalisation";"99";"Indetermine";;;"670780584";"";"Accueil temporaire pour Personnes agees";"Accueil de Jour";"Personnes Alzheimer ou maladies apparentees";"0";"0";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670008978";;;"ACCUEIL JOUR PERSONNES AGeES";;"17 RUE DE NICOSIE";;"67000";"STRASBOURG";"03 88 60 66 66 ";"03 88 45 01 36";"01 janvier 2008";"207";"Centre de Jour pour Personnes Agees";"62";"Association de Droit Local";"20";"Autorite mixte prefet dpt PCG EHPAD tripartite DG global";;;"670008929";"";"Accueil temporaire pour Personnes agees";"Accueil de Jour";"Personnes Alzheimer ou maladies apparentees";"0";"0";"25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670009349";"478 736 846 00013";;"UNITE DE VIE PA LES CHEVREFEUILLES";;"186 RUE PRINCIPALE";;"67210";"VALFF";"03 88 08 75 93 ";;"22 decembre 2004";"200";"Maison de Retraite";"72";"Societe à responsabilite limitee (S.A.R.L.)";"08";"President du Conseil General";;;"670009299";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees (Sans Autre Indication)";"0";"0";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"670010479";"775 642 069 00485";;"MR SAINTE ELISABETH-EHPAD";;"16 RUE SAINTE ELISABETH";;"67000";"STRASBOURG";"03 88 24 77 00 ";"03 88 24 77 01";"12 janvier 1998";"200";"Maison de Retraite";"62";"Association de Droit Local";"20";"Autorite mixte prefet dpt PCG EHPAD tripartite DG global";;;"670792340";"";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Agees dependantes";"0";"0";"46";"Accueil en Maison de Retraite";"Hebergement Complet Internat";"Personnes Alzheimer ou maladies apparentees";"0";"0";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
